MODELLO;RICAMBIO; PREZZO ; PREZZO IN PROMO ;PREZZO 2^ LAVORAZIONE
X;FACE ID;; 109,00 € ; 55 € 
XR;VETRO POSTERIORE;; 109,00 € ; 55 € 
XR;MB E REC. LIQUIDI;; 109,00 € ; 55 € 
XR;FACE ID;; 109,00 € ; 55 € 
XS;VETRO POSTERIORE;; 109,00 € ; 55 € 
XS;MB E REC. LIQUIDI;; 109,00 € ; 55 € 
XS;FACE ID;; 109,00 € ; 55 € 
XS MAX;VETRO POSTERIORE;; 109,00 € ; 55 € 
XS MAX;FACE ID; 119,00 € ; 109,00 € ; 55 € 
14 PRO;DOCK;; 99,00 € ; 50 € 
14 PRO MAX;DOCK;; 99,00 € ; 50 € 
15 Plus;ALTRI DANNI;; 99,00 € ; 50 € 
XR;DISPLAY; 119,00 € ; 99,00 € ; 50 € 
8;MB E REC. LIQUIDI;; 89,00 € ; 45 € 
11;FOTOCAMERA POSTERIORE;; 89,00 € ; 62 € 
12;DOCK;; 89,00 € ; 45 € 
15;ALTRI DANNI;; 89,00 € ; 45 € 
12 MINI;DOCK;; 89,00 € ; 45 € 
12 PRO;DOCK;; 89,00 € ; 45 € 
12 PRO MAX;DOCK;; 89,00 € ; 45 € 
13 MINI;DOCK;; 89,00 € ; 45 € 
13 PRO;DOCK;; 89,00 € ; 45 € 
13 PRO MAX;DOCK;; 89,00 € ; 45 € 
14 Plus;DOCK;; 89,00 € ; 45 € 
14 PRO;ALTRI DANNI;; 89,00 € ; 45 € 
14 PRO MAX;ALTRI DANNI;; 89,00 € ; 45 € 
15 PRO;ALTRI DANNI;; 89,00 € ; 45 € 
15 PRO MAX;ALTRI DANNI;; 89,00 € ; 45 € 
8 Plus;DISPLAY;; 89,00 € ; 45 € 
8 Plus;MB E REC. LIQUIDI;; 89,00 € ; 45 € 
SE 2;VETRO POSTERIORE;; 89,00 € ; 45 € 
SE 3;DISPLAY; 109,00 € ; 89,00 € ; 45 € 
XR;FOTOCAMERA POSTERIORE;; 89,00 € ; 62 € 
XS;FOTOCAMERA POSTERIORE;; 89,00 € ; 62 € 
XS MAX;FOTOCAMERA POSTERIORE;; 89,00 € ; 62 € 
8;DISPLAY;; 79,00 € ; 40 € 
11;DOCK;; 79,00 € ; 40 € 
12;ALTRI DANNI;; 79,00 € ; 40 € 
13;DOCK;; 79,00 € ; 40 € 
14;BATTERIA;; 79,00 € ; 59 € 
14;DOCK;; 79,00 € ; 40 € 
15;BATTERIA;; 79,00 € ; 59 € 
16;BATTERIA;; 79,00 € ; 59 € 
11 PRO;ALTRI DANNI;; 79,00 € ; 40 € 
11 PRO MAX;ALTRI DANNI;; 79,00 € ; 40 € 
12 MINI;ALTRI DANNI;; 79,00 € ; 40 € 
12 PRO;ALTRI DANNI;; 79,00 € ; 40 € 
12 PRO MAX;ALTRI DANNI;; 79,00 € ; 40 € 
13 MINI;ALTRI DANNI;; 79,00 € ; 40 € 
13 PRO;ALTRI DANNI;; 79,00 € ; 40 € 
13 PRO MAX;ALTRI DANNI;; 79,00 € ; 40 € 
14 Plus;BATTERIA;; 79,00 € ; 59 € 
14 Plus;ALTRI DANNI;; 79,00 € ; 40 € 
14 PRO;BATTERIA;; 79,00 € ; 59 € 
14 PRO MAX;BATTERIA;; 79,00 € ; 59 € 
15 Plus;BATTERIA;; 79,00 € ; 59 € 
15 PRO;BATTERIA;; 79,00 € ; 59 € 
15 PRO MAX;BATTERIA;; 79,00 € ; 59 € 
16 Plus;BATTERIA;; 79,00 € ; 59 € 
16 PRO;BATTERIA;; 79,00 € ; 59 € 
16 PRO;VETRINO FOTOCAMERA;; 79,00 € ; 40 € 
16 PRO MAX;BATTERIA;; 79,00 € ; 59 € 
16 PRO MAX;VETRINO FOTOCAMERA;; 79,00 € ; 40 € 
SE 2;DISPLAY; 99,00 € ; 79,00 € ; 40 € 
SE 3;FOTOCAMERA POSTERIORE;; 79,00 € ; 55 € 
X;FOTOCAMERA POSTERIORE;; 79,00 € ; 55 € 
7;MB E REC. LIQUIDI;; 69,00 € ; 35 € 
11;ALTRI DANNI;; 69,00 € ; 35 € 
12;BATTERIA;; 69,00 € ; 49 € 
13;BATTERIA;; 69,00 € ; 49 € 
13;ALTRI DANNI;; 69,00 € ; 35 € 
14;ALTRI DANNI;; 69,00 € ; 35 € 
15;MANUTENZIONE DOCK/EAR;; 69,00 € ; 35 € 
16;VETRINO FOTOCAMERA;; 69,00 € ; 35 € 
16;MANUTENZIONE DOCK/EAR;; 69,00 € ; 35 € 
11 PRO;BATTERIA;; 69,00 € ; 49 € 
11 PRO MAX;BATTERIA;; 69,00 € ; 49 € 
12 MINI;BATTERIA;; 69,00 € ; 49 € 
12 PRO;BATTERIA;; 69,00 € ; 49 € 
12 PRO MAX;BATTERIA;; 69,00 € ; 49 € 
13 MINI;BATTERIA;; 69,00 € ; 49 € 
13 PRO;BATTERIA;; 69,00 € ; 49 € 
13 PRO MAX;BATTERIA;; 69,00 € ; 49 € 
15 Plus;MANUTENZIONE DOCK/EAR;; 69,00 € ; 35 € 
15 PRO;VETRINO FOTOCAMERA;; 69,00 € ; 35 € 
15 PRO;MANUTENZIONE DOCK/EAR;; 69,00 € ; 35 € 
15 PRO MAX;VETRINO FOTOCAMERA;; 69,00 € ; 35 € 
15 PRO MAX;MANUTENZIONE DOCK/EAR;; 69,00 € ; 35 € 
16 Plus;VETRINO FOTOCAMERA;; 69,00 € ; 35 € 
16 Plus;MANUTENZIONE DOCK/EAR;; 69,00 € ; 35 € 
16 PRO;MANUTENZIONE DOCK/EAR;; 69,00 € ; 35 € 
16 PRO MAX;MANUTENZIONE DOCK/EAR;; 69,00 € ; 35 € 
7 Plus;DISPLAY;; 69,00 € ; 35 € 
7 Plus;MB E REC. LIQUIDI;; 69,00 € ; 35 € 
SE 2;FOTOCAMERA POSTERIORE;; 69,00 € ; 48 € 
SE 3;DOCK; 79,00 € ; 69,00 € ; 35 € 
XR;DOCK;; 69,00 € ; 35 € 
XS MAX;DOCK;; 69,00 € ; 35 € 
7;DISPLAY;; 59,00 € ; 30 € 
11;BATTERIA;; 59,00 € ; 39 € 
15;VETRINO FOTOCAMERA;; 59,00 € ; 30 € 
14 PRO;VETRINO FOTOCAMERA;; 59,00 € ; 30 € 
14 PRO MAX;VETRINO FOTOCAMERA;; 59,00 € ; 30 € 
15 Plus;VETRINO FOTOCAMERA;; 59,00 € ; 30 € 
5S/SE/6;MB E REC. LIQUIDI;; 59,00 € ; 30 € 
6P/6S;MB E REC. LIQUIDI;; 59,00 € ; 30 € 
6S Plus;DISPLAY;; 59,00 € ; 30 € 
6S Plus;MB E REC. LIQUIDI;; 59,00 € ; 30 € 
SE 2;DOCK; 79,00 € ; 59,00 € ; 30 € 
SE 2;ALTRI DANNI;; 59,00 € ; 30 € 
SE 3;ALTRI DANNI;; 59,00 € ; 30 € 
X;BATTERIA; 69,00 € ; 59,00 € ; 39 € 
X;DOCK; 79,00 € ; 59,00 € ; 30 € 
X;ALTRI DANNI;; 59,00 € ; 30 € 
XR;BATTERIA; 69,00 € ; 59,00 € ; 39 € 
XR;ALTRI DANNI;; 59,00 € ; 30 € 
XS;BATTERIA; 69,00 € ; 59,00 € ; 39 € 
XS;DOCK; 89,00 € ; 59,00 € ; 30 € 
XS;ALTRI DANNI; 69,00 € ; 59,00 € ; 30 € 
XS MAX;BATTERIA; 69,00 € ; 59,00 € ; 39 € 
XS MAX;ALTRI DANNI; 69,00 € ; 59,00 € ; 30 € 
7;BATTERIA;; 49,00 € ; 29 € 
8;BATTERIA;; 49,00 € ; 29 € 
12;MANUTENZIONE DOCK/EAR;; 49,00 € ; 25 € 
13;MANUTENZIONE DOCK/EAR;; 49,00 € ; 25 € 
14;VETRINO FOTOCAMERA;; 49,00 € ; 25 € 
14;MANUTENZIONE DOCK/EAR;; 49,00 € ; 25 € 
12 MINI;MANUTENZIONE DOCK/EAR;; 49,00 € ; 25 € 
12 PRO;MANUTENZIONE DOCK/EAR;; 49,00 € ; 25 € 
12 PRO MAX;MANUTENZIONE DOCK/EAR;; 49,00 € ; 25 € 
13 MINI;MANUTENZIONE DOCK/EAR;; 49,00 € ; 25 € 
13 PRO;VETRINO FOTOCAMERA;; 49,00 € ; 25 € 
13 PRO;MANUTENZIONE DOCK/EAR;; 49,00 € ; 25 € 
13 PRO MAX;VETRINO FOTOCAMERA;; 49,00 € ; 25 € 
13 PRO MAX;MANUTENZIONE DOCK/EAR;; 49,00 € ; 25 € 
14 Plus;VETRINO FOTOCAMERA;; 49,00 € ; 25 € 
14 Plus;MANUTENZIONE DOCK/EAR;; 49,00 € ; 25 € 
14 PRO;MANUTENZIONE DOCK/EAR;; 49,00 € ; 25 € 
14 PRO MAX;MANUTENZIONE DOCK/EAR;; 49,00 € ; 25 € 
6P/6S;DISPLAY;; 49,00 € ; 25 € 
7 Plus;BATTERIA;; 49,00 € ; 29 € 
8 Plus;BATTERIA;; 49,00 € ; 29 € 
SE 2;BATTERIA;; 49,00 € ; 29 € 
SE 3;BATTERIA;; 49,00 € ; 29 € 
7;ALTRI DANNI;; 39,00 € ; 20 € 
8;ALTRI DANNI;; 39,00 € ; 20 € 
11;VETRINO FOTOCAMERA;; 39,00 € ; 20 € 
12;VETRINO FOTOCAMERA;; 39,00 € ; 20 € 
13;VETRINO FOTOCAMERA;; 39,00 € ; 20 € 
11 PRO;VETRINO FOTOCAMERA;; 39,00 € ; 20 € 
11 PRO MAX;VETRINO FOTOCAMERA;; 39,00 € ; 20 € 
12 MINI;VETRINO FOTOCAMERA;; 39,00 € ; 20 € 
12 PRO;VETRINO FOTOCAMERA;; 39,00 € ; 20 € 
12 PRO MAX;VETRINO FOTOCAMERA;; 39,00 € ; 20 € 
13 MINI;VETRINO FOTOCAMERA;; 39,00 € ; 20 € 
5S/SE/6;DISPLAY;; 39,00 € ; 20 € 
6P/6S;BATTERIA;; 39,00 € ; 19 € 
6S Plus;BATTERIA;; 39,00 € ; 19 € 
7 Plus;ALTRI DANNI;; 39,00 € ; 20 € 
8 Plus;ALTRI DANNI;; 39,00 € ; 20 € 
SE 2;VETRINO FOTOCAMERA;; 39,00 € ; 20 € 
SE 3;VETRINO FOTOCAMERA;; 39,00 € ; 20 € 
X;VETRINO FOTOCAMERA;; 39,00 € ; 20 € 
XR;VETRINO FOTOCAMERA;; 39,00 € ; 20 € 
XS;VETRINO FOTOCAMERA;; 39,00 € ; 20 € 
XS MAX;VETRINO FOTOCAMERA;; 39,00 € ; 20 € 
ACCESSORI;COVER MagSafe;; 30,00 € ; 15 € 
7;MANUTENZIONE DOCK/EAR;; 29,00 € ; 15 € 
8;MANUTENZIONE DOCK/EAR;; 29,00 € ; 15 € 
11;MANUTENZIONE DOCK/EAR;; 29,00 € ; 15 € 
11 PRO;MANUTENZIONE DOCK/EAR;; 29,00 € ; 15 € 
11 PRO MAX;MANUTENZIONE DOCK/EAR;; 29,00 € ; 15 € 
5S/SE/6;BATTERIA;; 29,00 € ; 19 € 
5S/SE/6;ALTRI DANNI;; 29,00 € ; 15 € 
5S/SE/6;MANUTENZIONE DOCK/EAR;; 29,00 € ; 15 € 
6P/6S;ALTRI DANNI;; 29,00 € ; 15 € 
6P/6S;MANUTENZIONE DOCK/EAR;; 29,00 € ; 15 € 
6S Plus;ALTRI DANNI;; 29,00 € ; 15 € 
6S Plus;MANUTENZIONE DOCK/EAR;; 29,00 € ; 15 € 
7 Plus;MANUTENZIONE DOCK/EAR;; 29,00 € ; 15 € 
8 Plus;MANUTENZIONE DOCK/EAR;; 29,00 € ; 15 € 
SE 2;MANUTENZIONE DOCK/EAR;; 29,00 € ; 15 € 
SE 3;MANUTENZIONE DOCK/EAR;; 29,00 € ; 15 € 
X;MANUTENZIONE DOCK/EAR;; 29,00 € ; 15 € 
XR;MANUTENZIONE DOCK/EAR;; 29,00 € ; 15 € 
XS;MANUTENZIONE DOCK/EAR;; 29,00 € ; 15 € 
XS MAX;MANUTENZIONE DOCK/EAR;; 29,00 € ; 15 € 
ACCESSORI;COVER TPU;; 20,00 € ; 10 € 
ACCESSORI;GLASS;; 20,00 € ; 10 € 
;;;; -   € 
;;;;
;;;;
;;;;
;;;;
;;; -   € ;
;;;;
